H1000,All India Institute of Medical Sciences,New Delhi,Na,India
H1001,Medanta The Medicity,Gurgaon,Haryana,India
H1002,The Christian Medical College,Vellore,Tamil Nadu,India
H1003,PGIMER - Postgraduate Institute of Medical Education and Research,Chandigarh,Haryana,India
H1004,Apollo Hospital - Chennai,Chennai,Tamil Nadu,India
H1005,P. D. Hinduja National Hospital & Medical Research Centre,Mumbai,Maharashtra,India
H1006,Breach Candy Hospital,Mumbai,Maharashtra,India
H1007,Fortis Flt. Lt. Rajan Dhall Hospital,New Delhi,Na,India
H1008,King Edward Memorial Hospital,Mumbai,Maharashtra,India
H1009,Indraprastha Apollo Hospital,Delhi,Na,India
H1010,Lilavati Hospital And Research Centre,Mumbai,Maharashtra,India
H1011,Sir Ganga Ram Hospital,Delhi,Na,India
H1012,Bombay Hospital & Medical Research Centre,Mumbai,Maharashtra,India
H1013,Apollo Health City - Jubilee Hills,Hyderabad,Telangana,India
H1014,Fortis Hiranandani Hospital,Mumbai,Maharashtra,India
H1015,Fortis Hospital Mulund,Mumbai,Maharashtra,India
H1016,Jaslok Hospital and Research Centre,Mumbai,Maharashtra,India
H1017,Manipal Hospitals,Bengaluru,Karnataka,India
H1018,Yashoda Hospital Secunderabad,Hyderabad,Telangana,India
H1019,Apollo Hospitals - Bannerghatta Road,Bengaluru,Karnataka,India
